Time,Confluence,TotalCells,TumorCells,NecroticCells,QuiescentCells,ProliferativeCells,HypoxicCells,EndothelialCells,TipCells,StalkCells,OutsideCells
1,0.0221411,154,24,0,12,12,0,128,0,0,0
2,0.0221843,155,23,0,12,11,0,128,0,0,0
3,0.0222706,155,23,0,12,11,0,128,0,0,0
4,0.0223569,157,21,0,12,9,0,128,0,0,0
5,0.0225296,160,18,0,12,6,0,128,0,0,0
6,0.0228317,161,17,0,12,5,0,128,0,0,0
7,0.023177,163,15,0,11,4,0,128,0,0,0
8,0.0236086,164,14,0,11,3,0,128,0,0,0
9,0.0240834,165,13,0,11,2,0,128,0,0,0
10,0.0246013,166,14,0,13,1,0,128,0,0,0
11,0.0251192,166,16,0,15,1,0,128,0,0,0
12,0.025594,166,16,0,14,2,0,128,0,0,0
13,0.0260687,166,20,0,18,2,0,128,0,0,0
14,0.0264572,166,26,0,23,3,0,128,0,0,0
15,0.0267161,166,28,0,25,3,0,128,0,0,0
16,0.0269319,167,31,0,28,3,0,128,0,0,0
17,0.0271046,167,33,0,29,4,0,128,0,0,0
18,0.027234,167,35,0,30,5,0,128,0,0,0
19,0.0273204,167,37,0,32,5,0,128,0,0,0
20,0.0273635,167,37,0,32,5,0,128,0,0,0
21,0.0274067,168,36,0,30,6,0,128,0,0,0
22,0.027493,168,36,0,30,6,0,128,0,0,0
23,0.0275793,169,35,0,30,5,0,128,0,0,0
24,0.0277088,169,35,0,30,5,0,128,0,0,0
25,0.0278383,170,36,0,32,4,0,128,0,0,0
26,0.0279678,171,35,0,32,3,0,128,0,0,0
27,0.0281404,172,34,0,32,2,0,128,0,0,0
28,0.0283562,172,34,0,32,2,0,128,0,0,0
29,0.028572,172,34,0,32,2,0,128,0,0,0
30,0.0287878,174,34,0,34,0,0,128,0,0,0
31,0.0290468,174,34,0,33,1,0,128,0,0,0
32,0.0293057,174,36,0,32,2,2,128,0,0,0
33,0.0295215,174,36,0,30,3,3,128,0,0,0
34,0.0297373,174,38,0,31,3,4,128,0,0,0
35,0.02991,174,40,0,32,3,5,128,0,0,0
36,0.0300395,174,42,0,32,3,7,128,0,0,0
37,0.0301258,174,42,0,30,4,8,128,0,0,0
38,0.0302121,174,42,0,29,4,9,128,0,0,0
39,0.0302984,174,46,0,33,4,9,128,0,0,0
40,0.0302984,175,45,0,32,3,10,128,0,0,0
41,0.0303416,176,44,0,31,2,11,128,0,0,0
42,0.0304279,177,43,0,29,2,12,128,0,0,0
43,0.0305574,177,43,0,27,2,14,128,0,0,0
44,0.0306869,177,43,0,26,2,15,128,0,0,0
45,0.0308163,177,43,0,25,3,15,128,0,0,0
46,0.0309458,178,42,0,23,3,16,128,0,0,0
47,0.0311185,178,42,0,23,3,16,128,0,0,0
48,0.0312911,178,42,0,21,4,17,128,0,0,0
49,0.0314637,178,44,0,22,4,18,128,0,0,0
50,0.0315932,178,46,0,24,4,18,128,0,0,0
51,0.0316795,179,47,0,24,3,20,128,0,0,0
52,0.0317659,179,47,0,22,3,22,128,0,0,0
